===20160827-160653,main[91]=== len = 3

===20160827-161702,main[92]=== len = 3

===20160827-161706,main[92]=== len = 3

===20160827-162013,main[84]=== len = 3

===20160827-163833,main[84]=== len = 3

===20160827-163939,main[84]=== len = 3

===20160827-164051,main[84]=== len = 3

===20160827-164057,main[84]=== len = 3

===20160827-164105,main[84]=== len = 3

===20160827-164111,main[84]=== len = 3

===20160827-164418,main[84]=== len = 3

===20160827-164423,main[84]=== len = 3

===20160827-164659,main[84]=== len = 3

===20160827-164704,main[84]=== len = 3

===20160827-164708,main[84]=== len = 3

===20160827-164710,main[84]=== len = 3

===20160827-164934,main[84]=== len = 3

===20160827-164937,main[84]=== len = 3

===20160827-164939,main[84]=== len = 3

===20160827-164945,main[84]=== len = 3

===20160827-165458,main[84]=== len = 3

===20160827-165500,main[84]=== len = 3

===20160827-165514,main[84]=== len = 3

===20160827-165851,main[84]=== len = 3

